Figura,area,perimeter,centroid,orientation,bbox,convex_area,convex_image,coords,eccentricity,equivalent_diameter,euler_number,extent,filled_area,filled_image,major_axis_length,minor_axis_length,orientation,solidity
Triángulo,24062.0,929.5046173579947,"(161.32615742664782, 217.69146371872662)",-1.522972942546115,"(102, 87, 231, 470)",24502.0,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]]","[[102  97]
 [103  97]
 [103  98]
 ...
 [229  90]
 [229  91]
 [230  87]]",0.9563246519715604,175.03339660024164,1,0.48701600987714294,24062.0,24062.0,356.02633070495426,104.06885332017826,-1.522972942546115,0.9820422822626724
Triángulo,1.0,0.0,"(381.0, 159.0)",0.7853981633974483,"(381, 159, 382, 160)",1.0,[[ True]],[[381 159]],0.0,1.1283791670955126,1,1.0,1.0,1.0,0.0,0.0,0.7853981633974483,1.0
Triángulo,1.0,0.0,"(180.0, 37.0)",0.7853981633974483,"(180, 37, 181, 38)",1.0,[[ True]],[[180  37]],0.0,1.1283791670955126,1,1.0,1.0,1.0,0.0,0.0,0.7853981633974483,1.0
Triángulo,1.0,0.0,"(45.0, 781.0)",0.7853981633974483,"(45, 781, 46, 782)",1.0,[[ True]],[[ 45 781]],0.0,1.1283791670955126,1,1.0,1.0,1.0,0.0,0.0,0.7853981633974483,1.0
Triángulo,1.0,0.0,"(372.0, 244.0)",0.7853981633974483,"(372, 244, 373, 245)",1.0,[[ True]],[[372 244]],0.0,1.1283791670955126,1,1.0,1.0,1.0,0.0,0.0,0.7853981633974483,1.0
Triángulo,90879.0,1484.9585489084066,"(396.65885408070073, 513.660042474059)",-0.1077173539872866,"(93, 295, 598, 677)",91519.0,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ...  True  True  True]
 [False False False ...  True  True  True]
 [False False False ... False  True  True]]","[[ 93 570]
 [ 94 570]
 [ 95 569]
 ...
 [596 674]
 [596 675]
 [597 676]]",0.6837848724743909,340.1628089400528,1,0.4710953294282308,90879.0,90879.0,437.90216007965313,319.5300522403667,-0.1077173539872866,0.9930069165965537
Triángulo,1.0,0.0,"(53.0, 590.0)",0.7853981633974483,"(53, 590, 54, 591)",1.0,[[ True]],[[ 53 590]],0.0,1.1283791670955126,1,1.0,1.0,1.0,0.0,0.0,0.7853981633974483,1.0
Triángulo,38612.0,1116.447834896002,"(211.34056769916089, 256.66847094167616)",-1.2166162144035468,"(125, 76, 350, 512)",39104.0,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False  True  True ... False False False]
 [ True  True  True ... False False False]
 [ True  True False ... False False False]]","[[125 183]
 [126 183]
 [126 184]
 ...
 [348  77]
 [348  78]
 [349  76]]",0.921007312908598,221.725788534654,1,0.39359836901121303,38612.0,38612.0,390.6704663384567,152.18383840319996,-1.2166162144035468,0.9874181669394435
Triángulo,121373.0,1683.2144289248722,"(441.9878720967596, 462.68852215896453)",0.6159228370630759,"(188, 166, 741, 634)",122092.0,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ...  True  True  True]
 [False False False ...  True  True  True]
 [False False False ... False False  True]]","[[188 589]
 [189 587]
 [189 588]
 ...
 [738 632]
 [739 632]
 [740 633]]",0.6149865983268754,393.1118203045298,1,0.46897652277399116,121373.0,121373.0,486.8108999108307,383.868679304383,0.6159228370630759,0.9941109982636045
Triángulo,50836.0,1425.9564568673536,"(409.312475411126, 239.32805492170903)",0.22258335848507177,"(195, 112, 788, 327)",51478.0,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False  True  True]
 [False False False ... False False  True]
 [False False False ... False False  True]]","[[195 279]
 [196 276]
 [196 277]
 ...
 [785 326]
 [786 326]
 [787 326]]",0.9665561171467005,254.41384690334118,1,0.3987293619357622,50836.0,50836.0,552.4548420483201,141.67992002354137,0.22258335848507177,0.9875286530168227
